nome_tecnico;data_entrada;data_saida
Ney Franco;15/07/2012;03/07/2013
Milton Cruz;07/07/2013;10/07/2013
Paulo Autuori;14/07/2013;08/09/2013
Muricy Ramalho;12/09/2013;05/04/2015
Milton Cruz;08/04/2015;03/06/2015
Juan Carlos Osorio;06/06/2015;03/10/2015
Doriva;14/10/2015;08/11/2015
Milton Cruz;19/11/2015;06/12/2015
Edgardo Bauza;30/01/2016;24/07/2016
André Jardine;07/08/2016;14/08/2016
Ricardo Gomes;16/08/2016;20/11/2016
Pintado;27/11/2016;11/12/2016
Rogério Ceni;05/02/2017;02/07/2017
Pintado;09/07/2017;09/07/2017
Dorival Júnior;13/07/2017;09/03/2018
André Jardine;11/03/2018;14/03/2018
Diego Aguirre;17/03/2018;11/11/2018
André Jardine;15/11/2018;13/02/2019
Vagner Mancini;17/02/2019;30/03/2019
Cuca;07/04/2019;27/09/2019
Fernando Diniz;28/09/2019;31/01/2021
Marcos Vizolli;10/02/2021;25/02/2021
Hermnán Crespo;28/02/2021;11/10/2021
Rogério Ceni;14/10/2021;19/04/2023
Dorival Júnior;22/04/2023;10/01/2024
